"bin","mean_power","total_GWh_m2"
"15",468.215977760844,0.0100703892496802
"45",421.086795924304,0.0119571806570665
"75",421.065031850587,0.00840445803573772
"105",497.302973307522,0.00945472412852261
"135",606.518002520816,0.0110234646958158
"165",762.279296416314,0.0187467347367664
"195",911.429770859101,0.035719844149739
"225",935.615788774158,0.0545276881697579
"255",887.6385423103,0.0596626246213868
"285",704.06000488695,0.0305160727918151
"315",505.872200837611,0.0151164731054295
"345",519.521901854233,0.0129407710532871
